 NF , LCD , NucleusArea , CellArea , percentProtrusion , protrusion_extent ,NucIntegratedH,logNucbyRing488 (Yap)
0.837989,26.6809,435,1835,6.97548,0.225,88003.11,0.40902
0.463415,16.5755,411,4014,6.27803,0.705882,90100.242,0.429378
1,60.9756,486,1642,0,0,70423.83,0.0938395
0.299242,11.4548,452,4053,9.27708,0.445378,98145.924,0.317429
0.141892,5.91961,391,4177,16.3275,0.321285,85033.116,0.303485
0.67052,13.9276,398,2304,0,0,78074.466,0.361697
0.316602,9.38174,410,4423,11.5532,0.522523,91227.46,0.443407
1,33.4672,487,1692,4.78723,0.0649351,92465.229,0.215886
0.521569,14.4991,526,4099,3.8302,0.4,97669.784,0.33214
0.190083,5.15464,358,4174,13.8237,0.573394,75868.076,0.346988
0.394231,11.1857,308,2882,19.084,0.44,77197.428,0.27276
0.577869,14.4718,385,3167,23.9659,0.461538,105103.075,0.253558
0.933333,47.6644,383,1910,0,0.127273,57258.5,0.212085
0.216667,5.0844,545,5788,12.0422,0.577287,167408.195,0.33627
0.331412,9.6367,648,6169,27.8489,0.687225,364424.184,0.15679
0.547101,15.2207,496,4145,15.7057,0.671429,184587.392,0.342932
0.822222,36.1533,554,2472,2.06311,0.108571,136687.312,0.04655
0.960573,42.6621,520,4253,0,0,136079.32,0.0424873
1,41.0341,578,1784,0,0,98730.492,0.167442
0.8,27.9642,445,3117,14.2124,0.289017,183489.965,0.184845
0.470588,16.6279,598,5323,7.47699,0.231544,206162.892,0.308107
0.675258,29.4204,491,2833,10.1659,0.297753,66148.502,0.177556
0.81448,23.0734,414,3003,13.2534,0.469945,92461.104,0.4159
0.893443,26.5182,730,4284,14.0523,0.492823,349849.58,0.0880139
0.352941,8.4168,453,3948,16.1094,0.348039,215722.224,0.193975
0.73545,21.4316,802,6343,20.6527,0.220641,358256.608,0.0538222
0.558233,14.6284,487,3780,14.4974,0.319797,210964.991,0.132037
0.712121,16.852,843,6761,14.1991,0.375465,312778.29,0.0975852
0.403101,10.7216,464,3682,12.0315,0.42233,101873.52,0.168254
0.194093,5.71363,390,3125,26.048,0.496855,52490.1,0.151102
0.275862,15.1607,441,3383,13.154,0.349515,168586.362,0.300649
